drugA,drugB,cell_line,synergy
ERLOTINIB,OXALIPLATIN,NCIH2122,-11.6633686308
ERLOTINIB,OXALIPLATIN,NCIH23,-27.9715110228
ERLOTINIB,OXALIPLATIN,NCIH460,-45.6865838588
ERLOTINIB,OXALIPLATIN,NCIH520,-14.8467994736
ERLOTINIB,OXALIPLATIN,OV90,-31.1983312611
ERLOTINIB,OXALIPLATIN,OVCAR3,3.0507226967
ERLOTINIB,OXALIPLATIN,RKO,-6.0258081766
ERLOTINIB,OXALIPLATIN,RPMI7951,-44.6383195334
ERLOTINIB,OXALIPLATIN,SKMEL30,-10.2249342943
ERLOTINIB,OXALIPLATIN,SKMES1,3.1743042815
ERLOTINIB,OXALIPLATIN,SKOV3,4.2828123386
ERLOTINIB,OXALIPLATIN,SW620,-33.7503438438
ERLOTINIB,OXALIPLATIN,SW837,-5.11531975
ERLOTINIB,OXALIPLATIN,T47D,-9.2873201122
ERLOTINIB,OXALIPLATIN,UACC62,-17.1568745076
ERLOTINIB,OXALIPLATIN,VCAP,-8.1454736943
ERLOTINIB,OXALIPLATIN,ZR751,11.7989053681
ERLOTINIB,PD325901,A2058,6.4222052802
ERLOTINIB,PD325901,A2780,26.3912863892
ERLOTINIB,PD325901,A375,26.8503582625
ERLOTINIB,PD325901,CAOV3,46.9390049564
ERLOTINIB,PD325901,ES2,13.9907621153
ERLOTINIB,PD325901,HCT116,6.9939923612
ERLOTINIB,PD325901,HT144,14.3884974381
ERLOTINIB,PD325901,HT29,11.0924444582
ERLOTINIB,PD325901,KPL1,-3.6233759235
ERLOTINIB,PD325901,LNCAP,-5.8654111832
ERLOTINIB,PD325901,LOVO,37.1687912712
ERLOTINIB,PD325901,MDAMB436,8.7782309192
ERLOTINIB,PD325901,NCIH1650,11.7579825457
ERLOTINIB,PD325901,NCIH2122,63.4380891382
ERLOTINIB,PD325901,NCIH23,6.8039544854
ERLOTINIB,PD325901,NCIH460,17.652914217
ERLOTINIB,PD325901,NCIH520,-4.5678467868
ERLOTINIB,PD325901,OV90,-5.0536830788
ERLOTINIB,PD325901,OVCAR3,23.4455028761
ERLOTINIB,PD325901,RKO,7.059692087
ERLOTINIB,PD325901,RPMI7951,3.9931715983
ERLOTINIB,PD325901,SKMEL30,9.3445033913
ERLOTINIB,PD325901,SKMES1,26.8547976499
ERLOTINIB,PD325901,SKOV3,11.5927506157
ERLOTINIB,PD325901,SW620,-10.3945433027
ERLOTINIB,PD325901,SW837,31.645668752
ERLOTINIB,PD325901,T47D,-32.7874441123
ERLOTINIB,PD325901,UACC62,0.4688672499
ERLOTINIB,PD325901,VCAP,-1.164693008
ERLOTINIB,PD325901,ZR751,32.238418838
ERLOTINIB,SN-38,A2058,14.2345543965
ERLOTINIB,SN-38,A2780,36.9545920118
ERLOTINIB,SN-38,A375,33.4287841562
ERLOTINIB,SN-38,CAOV3,20.8069962844
ERLOTINIB,SN-38,ES2,19.7322431719
ERLOTINIB,SN-38,HCT116,35.5287120123
ERLOTINIB,SN-38,HT144,11.9553383751
ERLOTINIB,SN-38,HT29,33.4028382303
ERLOTINIB,SN-38,KPL1,20.1667901756
ERLOTINIB,SN-38,LNCAP,-23.0628704381
ERLOTINIB,SN-38,LOVO,17.7250798127
ERLOTINIB,SN-38,MDAMB436,23.5756500761
ERLOTINIB,SN-38,NCIH1650,4.9447607433
ERLOTINIB,SN-38,NCIH2122,41.6002633197
ERLOTINIB,SN-38,NCIH23,53.2860015363
ERLOTINIB,SN-38,NCIH460,67.7815276037
ERLOTINIB,SN-38,NCIH520,9.5345773109
ERLOTINIB,SN-38,OV90,-17.326445359
ERLOTINIB,SN-38,OVCAR3,28.0047374469
ERLOTINIB,SN-38,RKO,23.1858688959
ERLOTINIB,SN-38,RPMI7951,48.3924172385
ERLOTINIB,SN-38,SKMEL30,14.1530023215
ERLOTINIB,SN-38,SKMES1,27.9389079696
ERLOTINIB,SN-38,SKOV3,21.1754798764
ERLOTINIB,SN-38,SW620,18.9098645603
ERLOTINIB,SN-38,SW837,44.0118322228
ERLOTINIB,SN-38,T47D,11.1231185498
ERLOTINIB,SN-38,UACC62,22.4028997938
ERLOTINIB,SN-38,VCAP,42.3091666131
ERLOTINIB,SN-38,ZR751,52.344675252
ERLOTINIB,SORAFENIB,A2058,-1.6565454253
ERLOTINIB,SORAFENIB,A2780,2.9782398159
ERLOTINIB,SORAFENIB,A375,17.3204330647
ERLOTINIB,SORAFENIB,CAOV3,2.4805650504
ERLOTINIB,SORAFENIB,ES2,2.5774570978
ERLOTINIB,SORAFENIB,HCT116,11.5706464436
ERLOTINIB,SORAFENIB,HT144,0.4579421154
ERLOTINIB,SORAFENIB,HT29,5.4781380071
ERLOTINIB,SORAFENIB,KPL1,4.6490330427
ERLOTINIB,SORAFENIB,LNCAP,-8.0972607244
ERLOTINIB,SORAFENIB,LOVO,-2.257154012
ERLOTINIB,SORAFENIB,MDAMB436,-0.1383704857
ERLOTINIB,SORAFENIB,NCIH1650,25.2103511031
ERLOTINIB,SORAFENIB,NCIH2122,6.2177348704
ERLOTINIB,SORAFENIB,NCIH23,3.9242097608
ERLOTINIB,SORAFENIB,NCIH460,15.3257859454
ERLOTINIB,SORAFENIB,NCIH520,17.2659129652
ERLOTINIB,SORAFENIB,OV90,2.0719161847
ERLOTINIB,SORAFENIB,OVCAR3,-18.1126680247
ERLOTINIB,SORAFENIB,RKO,16.8276818788
ERLOTINIB,SORAFENIB,RPMI7951,-6.1214015764
ERLOTINIB,SORAFENIB,SKMEL30,8.1257973542
ERLOTINIB,SORAFENIB,SKMES1,-4.6683348273
ERLOTINIB,SORAFENIB,SKOV3,7.9796741109
ERLOTINIB,SORAFENIB,SW620,1.7274603084
ERLOTINIB,SORAFENIB,SW837,6.2737678854
ERLOTINIB,SORAFENIB,T47D,0.9602269246
ERLOTINIB,SORAFENIB,UACC62,2.9036692682
ERLOTINIB,SORAFENIB,VCAP,13.0904727816
ERLOTINIB,SORAFENIB,ZR751,-3.0340917061
ERLOTINIB,TOPOTECAN,A2058,20.6595466511
ERLOTINIB,TOPOTECAN,A2780,24.9731968812
ERLOTINIB,TOPOTECAN,A375,25.4402594168
ERLOTINIB,TOPOTECAN,CAOV3,13.8597180881
ERLOTINIB,TOPOTECAN,ES2,26.1625297553
ERLOTINIB,TOPOTECAN,HCT116,32.0849612081
ERLOTINIB,TOPOTECAN,HT144,21.4128154379
ERLOTINIB,TOPOTECAN,HT29,22.5393286683
ERLOTINIB,TOPOTECAN,KPL1,27.5739535417
ERLOTINIB,TOPOTECAN,LNCAP,14.1425910363
ERLOTINIB,TOPOTECAN,LOVO,32.1263854418
ERLOTINIB,TOPOTECAN,MDAMB436,18.1811279336
ERLOTINIB,TOPOTECAN,NCIH1650,17.7698006447
ERLOTINIB,TOPOTECAN,NCIH2122,37.0870485546
ERLOTINIB,TOPOTECAN,NCIH23,29.7601054756
ERLOTINIB,TOPOTECAN,NCIH460,33.0986580672
ERLOTINIB,TOPOTECAN,NCIH520,31.4448153681
ERLOTINIB,TOPOTECAN,OV90,15.6400968392
ERLOTINIB,TOPOTECAN,OVCAR3,-3.7603294538
ERLOTINIB,TOPOTECAN,RKO,49.3066048894
ERLOTINIB,TOPOTECAN,RPMI7951,18.2384166106
ERLOTINIB,TOPOTECAN,SKMEL30,33.8295741424
ERLOTINIB,TOPOTECAN,SKMES1,25.7182254314
ERLOTINIB,TOPOTECAN,SKOV3,15.866887425
ERLOTINIB,TOPOTECAN,SW620,23.349235927
ERLOTINIB,TOPOTECAN,SW837,41.815251285
ERLOTINIB,TOPOTECAN,T47D,-8.418283418
ERLOTINIB,TOPOTECAN,UACC62,23.2436802246
ERLOTINIB,TOPOTECAN,VCAP,58.1934541825
ERLOTINIB,TOPOTECAN,ZR751,52.9412479406
ETOPOSIDE,ABT-888,A2058,1.9172216639
ETOPOSIDE,ABT-888,A2780,14.6826760537
ETOPOSIDE,ABT-888,A375,1.3139972429
ETOPOSIDE,ABT-888,CAOV3,88.9031387313
ETOPOSIDE,ABT-888,ES2,-14.5662838782
ETOPOSIDE,ABT-888,HCT116,4.3880671317
ETOPOSIDE,ABT-888,HT144,0.5510872045
ETOPOSIDE,ABT-888,HT29,8.8498327418
ETOPOSIDE,ABT-888,KPL1,6.6655229082
ETOPOSIDE,ABT-888,LNCAP,15.4702117875
ETOPOSIDE,ABT-888,LOVO,-6.1339359579
ETOPOSIDE,ABT-888,MDAMB436,19.64911645
ETOPOSIDE,ABT-888,NCIH1650,2.9659362513
ETOPOSIDE,ABT-888,NCIH2122,14.8261133829
ETOPOSIDE,ABT-888,NCIH23,-3.1199724443
ETOPOSIDE,ABT-888,NCIH460,-4.3206170725
ETOPOSIDE,ABT-888,NCIH520,4.3150672207
ETOPOSIDE,ABT-888,OV90,-9.0158407116
ETOPOSIDE,ABT-888,OVCAR3,0.3048709838
ETOPOSIDE,ABT-888,RKO,7.5127189826
ETOPOSIDE,ABT-888,RPMI7951,-3.8353182345
ETOPOSIDE,ABT-888,SKMEL30,-4.5839165748
ETOPOSIDE,ABT-888,SKMES1,6.8258229569
ETOPOSIDE,ABT-888,SKOV3,10.9628539524
ETOPOSIDE,ABT-888,SW620,6.3523157062
ETOPOSIDE,ABT-888,SW837,0.1810254466
ETOPOSIDE,ABT-888,T47D,19.2622774879
ETOPOSIDE,ABT-888,UACC62,-6.4073685199
ETOPOSIDE,ABT-888,VCAP,13.8331740747
ETOPOSIDE,ABT-888,ZR751,23.689779189
ETOPOSIDE,AZD1775,A2058,15.4450109447
ETOPOSIDE,AZD1775,A2780,12.3771765477
ETOPOSIDE,AZD1775,A375,19.2446662127
ETOPOSIDE,AZD1775,CAOV3,37.364847461
ETOPOSIDE,AZD1775,ES2,3.7696563323
ETOPOSIDE,AZD1775,HCT116,10.597266757
ETOPOSIDE,AZD1775,HT144,18.2433503192
ETOPOSIDE,AZD1775,HT29,15.3758071191
ETOPOSIDE,AZD1775,KPL1,24.4683419712
ETOPOSIDE,AZD1775,LNCAP,21.4511056488
ETOPOSIDE,AZD1775,LOVO,9.2020705545
ETOPOSIDE,AZD1775,MDAMB436,19.6026716455
ETOPOSIDE,AZD1775,NCIH1650,34.9633291217
ETOPOSIDE,AZD1775,NCIH2122,7.340765519
ETOPOSIDE,AZD1775,NCIH23,-147.6170917566
ETOPOSIDE,AZD1775,NCIH460,2.9555134809
ETOPOSIDE,AZD1775,NCIH520,2.2134405891
ETOPOSIDE,AZD1775,OV90,-0.1177371227
ETOPOSIDE,AZD1775,OVCAR3,63.3136349164
ETOPOSIDE,AZD1775,RKO,7.1527259421
ETOPOSIDE,AZD1775,RPMI7951,7.4992351883
ETOPOSIDE,AZD1775,SKMEL30,19.8715154139
ETOPOSIDE,AZD1775,SKMES1,4.3338528136
ETOPOSIDE,AZD1775,SKOV3,5.8405547499
ETOPOSIDE,AZD1775,SW620,-1.5835605169
ETOPOSIDE,AZD1775,SW837,18.5510652027
ETOPOSIDE,AZD1775,T47D,-20.6984306851
ETOPOSIDE,AZD1775,UACC62,25.1025207555
ETOPOSIDE,AZD1775,VCAP,20.2799529051
ETOPOSIDE,AZD1775,ZR751,3.7515684418
ETOPOSIDE,BEZ-235,A2058,2.8340783444
ETOPOSIDE,BEZ-235,A2780,10.2023547702
ETOPOSIDE,BEZ-235,A375,31.9971136787
ETOPOSIDE,BEZ-235,CAOV3,85.7561462668
ETOPOSIDE,BEZ-235,ES2,-9.2729641641
ETOPOSIDE,BEZ-235,HCT116,11.0164147017
ETOPOSIDE,BEZ-235,HT144,36.3439959518
ETOPOSIDE,BEZ-235,HT29,16.2268682725
ETOPOSIDE,BEZ-235,KPL1,24.9233453493
ETOPOSIDE,BEZ-235,LNCAP,93.4047831362
ETOPOSIDE,BEZ-235,LOVO,8.5334632817
ETOPOSIDE,BEZ-235,MDAMB436,28.3917614586
ETOPOSIDE,BEZ-235,NCIH1650,12.6940574892
ETOPOSIDE,BEZ-235,NCIH2122,9.5338159776
ETOPOSIDE,BEZ-235,NCIH23,-11.8079292671
ETOPOSIDE,BEZ-235,NCIH460,29.5968063723
ETOPOSIDE,BEZ-235,NCIH520,10.0132192025
ETOPOSIDE,BEZ-235,OV90,15.145269115
ETOPOSIDE,BEZ-235,OVCAR3,-4.3257900286
ETOPOSIDE,BEZ-235,RKO,19.3507608263
ETOPOSIDE,BEZ-235,RPMI7951,-13.3079863388
ETOPOSIDE,BEZ-235,SKMEL30,19.0550401685
ETOPOSIDE,BEZ-235,SKMES1,6.0552954938
ETOPOSIDE,BEZ-235,SKOV3,-12.5484426718
ETOPOSIDE,BEZ-235,SW620,1.2942029484
ETOPOSIDE,BEZ-235,SW837,-3.5840241874
ETOPOSIDE,BEZ-235,T47D,101.6125541832
ETOPOSIDE,BEZ-235,UACC62,14.783277324
ETOPOSIDE,BEZ-235,VCAP,10.2719133061
ETOPOSIDE,BEZ-235,ZR751,37.2080862535
ETOPOSIDE,BORTEZOMIB,A2058,-6.6714341451
ETOPOSIDE,BORTEZOMIB,A2780,-1.471039843
ETOPOSIDE,BORTEZOMIB,A375,-9.8287409816
ETOPOSIDE,BORTEZOMIB,CAOV3,54.3100090781
ETOPOSIDE,BORTEZOMIB,ES2,-38.1610657372
ETOPOSIDE,BORTEZOMIB,HCT116,-8.868555969
ETOPOSIDE,BORTEZOMIB,HT144,2.1652167641
ETOPOSIDE,BORTEZOMIB,HT29,-16.4133214926
ETOPOSIDE,BORTEZOMIB,KPL1,10.856969118
ETOPOSIDE,BORTEZOMIB,LNCAP,2.1723673534
ETOPOSIDE,BORTEZOMIB,LOVO,5.7820234946
ETOPOSIDE,BORTEZOMIB,MDAMB436,7.037605402
ETOPOSIDE,BORTEZOMIB,NCIH1650,-9.0143064919
ETOPOSIDE,BORTEZOMIB,NCIH2122,-11.9950708298
ETOPOSIDE,BORTEZOMIB,NCIH23,-11.2757762845
ETOPOSIDE,BORTEZOMIB,NCIH460,-8.8243957862
ETOPOSIDE,BORTEZOMIB,NCIH520,-33.8956381397
ETOPOSIDE,BORTEZOMIB,OV90,-20.5668034188
ETOPOSIDE,BORTEZOMIB,OVCAR3,2.4485716243
ETOPOSIDE,BORTEZOMIB,RKO,-0.3732582988
ETOPOSIDE,BORTEZOMIB,RPMI7951,-15.7705303647
ETOPOSIDE,BORTEZOMIB,SKMEL30,-0.5475615794
ETOPOSIDE,BORTEZOMIB,SKMES1,-21.791606174
ETOPOSIDE,BORTEZOMIB,SKOV3,-4.7622131835
ETOPOSIDE,BORTEZOMIB,SW620,7.8737155102
ETOPOSIDE,BORTEZOMIB,SW837,-14.5710629599
ETOPOSIDE,BORTEZOMIB,T47D,-19.8039881191
ETOPOSIDE,BORTEZOMIB,UACC62,-17.8222597968
ETOPOSIDE,BORTEZOMIB,VCAP,-10.5712824042
ETOPOSIDE,BORTEZOMIB,ZR751,26.7550432572
ETOPOSIDE,DASATINIB,A2058,11.2051228578
ETOPOSIDE,DASATINIB,A2780,66.5669522305
ETOPOSIDE,DASATINIB,A375,33.1108058978
ETOPOSIDE,DASATINIB,CAOV3,58.8484218493
ETOPOSIDE,DASATINIB,ES2,-17.7007265546
ETOPOSIDE,DASATINIB,HCT116,4.5195768355
ETOPOSIDE,DASATINIB,HT144,-36.2382421829
ETOPOSIDE,DASATINIB,HT29,24.349938992
ETOPOSIDE,DASATINIB,KPL1,26.2713663358
ETOPOSIDE,DASATINIB,LNCAP,31.3254866261
ETOPOSIDE,DASATINIB,LOVO,60.799970366
ETOPOSIDE,DASATINIB,MDAMB436,25.6860638203
ETOPOSIDE,DASATINIB,NCIH1650,50.3060481286
ETOPOSIDE,DASATINIB,NCIH2122,-55.138052142
ETOPOSIDE,DASATINIB,NCIH23,-183.3295713388
ETOPOSIDE,DASATINIB,NCIH460,40.1209851299
ETOPOSIDE,DASATINIB,NCIH520,43.6984061225
ETOPOSIDE,DASATINIB,OV90,1.7826878669
ETOPOSIDE,DASATINIB,OVCAR3,106.6307301267
ETOPOSIDE,DASATINIB,RKO,25.0898850346
ETOPOSIDE,DASATINIB,RPMI7951,15.5029159802
ETOPOSIDE,DASATINIB,SKMEL30,-32.4774733083
ETOPOSIDE,DASATINIB,SKMES1,11.8122964554
ETOPOSIDE,DASATINIB,SKOV3,5.2798799165
ETOPOSIDE,DASATINIB,SW620,42.2477068796
ETOPOSIDE,DASATINIB,SW837,40.7621375607
ETOPOSIDE,DASATINIB,T47D,-19.0996940748
ETOPOSIDE,DASATINIB,UACC62,3.7176581815
ETOPOSIDE,DASATINIB,VCAP,9.6099668392
ETOPOSIDE,DASATINIB,ZR751,5.1294309674
ETOPOSIDE,DINACICLIB,A2058,-6.5434303497
ETOPOSIDE,DINACICLIB,A2780,1.7100047662
ETOPOSIDE,DINACICLIB,A375,-122.7718051685
ETOPOSIDE,DINACICLIB,CAOV3,56.1998068102
ETOPOSIDE,DINACICLIB,ES2,-9.8230035887
ETOPOSIDE,DINACICLIB,HCT116,-12.9666191752
ETOPOSIDE,DINACICLIB,HT144,-6.2085399272
ETOPOSIDE,DINACICLIB,HT29,-8.4022348166
ETOPOSIDE,DINACICLIB,KPL1,7.1907790396
ETOPOSIDE,DINACICLIB,LNCAP,16.9929868687
ETOPOSIDE,DINACICLIB,LOVO,3.0716930837
ETOPOSIDE,DINACICLIB,MDAMB436,5.4343901781
ETOPOSIDE,DINACICLIB,NCIH1650,-7.0669837518
ETOPOSIDE,DINACICLIB,NCIH2122,3.4521256678
ETOPOSIDE,DINACICLIB,NCIH23,-19.11703449
ETOPOSIDE,DINACICLIB,NCIH460,-3.3198544351
ETOPOSIDE,DINACICLIB,NCIH520,-6.4198188464
ETOPOSIDE,DINACICLIB,OV90,-13.0315718543
ETOPOSIDE,DINACICLIB,OVCAR3,-2.327807888
ETOPOSIDE,DINACICLIB,RKO,4.3118592996
ETOPOSIDE,DINACICLIB,RPMI7951,-11.6430170017
ETOPOSIDE,DINACICLIB,SKMEL30,3.0278303939
ETOPOSIDE,DINACICLIB,SKMES1,-14.7751742729
ETOPOSIDE,DINACICLIB,SKOV3,-30.1891355807
ETOPOSIDE,DINACICLIB,SW620,-11.1006366923
ETOPOSIDE,DINACICLIB,SW837,-15.5520091944
ETOPOSIDE,DINACICLIB,T47D,-5.6781912965
ETOPOSIDE,DINACICLIB,UACC62,13.7814902338
ETOPOSIDE,DINACICLIB,VCAP,-7.2894453621
ETOPOSIDE,DINACICLIB,ZR751,7.9213208801
ETOPOSIDE,ERLOTINIB,A2058,1.9880474087
ETOPOSIDE,ERLOTINIB,A2780,19.6172069755
ETOPOSIDE,ERLOTINIB,A375,34.508237285
ETOPOSIDE,ERLOTINIB,CAOV3,92.9374627753
ETOPOSIDE,ERLOTINIB,ES2,18.1137661458
ETOPOSIDE,ERLOTINIB,HCT116,35.1756302953
ETOPOSIDE,ERLOTINIB,HT144,31.446221627
ETOPOSIDE,ERLOTINIB,HT29,28.7893928457
ETOPOSIDE,ERLOTINIB,KPL1,21.829286077
ETOPOSIDE,ERLOTINIB,LNCAP,16.8559927808
ETOPOSIDE,ERLOTINIB,LOVO,42.4260155422
ETOPOSIDE,ERLOTINIB,MDAMB436,30.4438681132
ETOPOSIDE,ERLOTINIB,NCIH1650,17.7952681932
ETOPOSIDE,ERLOTINIB,NCIH2122,47.4743024745
ETOPOSIDE,ERLOTINIB,NCIH23,-164.2668411604
ETOPOSIDE,ERLOTINIB,NCIH460,46.6730855322
ETOPOSIDE,ERLOTINIB,NCIH520,27.1848438964
ETOPOSIDE,ERLOTINIB,OV90,10.8358656892
ETOPOSIDE,ERLOTINIB,OVCAR3,40.7657358989
ETOPOSIDE,ERLOTINIB,RKO,26.0444465214
ETOPOSIDE,ERLOTINIB,RPMI7951,-0.9330229022
ETOPOSIDE,ERLOTINIB,SKMEL30,19.9688948808
ETOPOSIDE,ERLOTINIB,SKMES1,23.3105959977
ETOPOSIDE,ERLOTINIB,SKOV3,20.9716143849
ETOPOSIDE,ERLOTINIB,SW620,13.5792001022
ETOPOSIDE,ERLOTINIB,SW837,57.5135837911
ETOPOSIDE,ERLOTINIB,T47D,-9.4094430938
ETOPOSIDE,ERLOTINIB,UACC62,41.7189552864
ETOPOSIDE,ERLOTINIB,VCAP,41.8535057623
ETOPOSIDE,ERLOTINIB,ZR751,51.4737549582
ETOPOSIDE,GELDANAMYCIN,A2058,31.0615666545
ETOPOSIDE,GELDANAMYCIN,A2780,14.7883329283
ETOPOSIDE,GELDANAMYCIN,A375,1.2453632657
ETOPOSIDE,GELDANAMYCIN,CAOV3,71.4808240079
ETOPOSIDE,GELDANAMYCIN,ES2,-0.9557798512
ETOPOSIDE,GELDANAMYCIN,HCT116,-0.588757773
ETOPOSIDE,GELDANAMYCIN,HT144,13.8275485332
ETOPOSIDE,GELDANAMYCIN,HT29,5.9571258589
ETOPOSIDE,GELDANAMYCIN,KPL1,13.3158629747
ETOPOSIDE,GELDANAMYCIN,LNCAP,47.3542419112
ETOPOSIDE,GELDANAMYCIN,LOVO,-10.6750315892
ETOPOSIDE,GELDANAMYCIN,MDAMB436,23.9562407292
ETOPOSIDE,GELDANAMYCIN,NCIH1650,17.2456161903
ETOPOSIDE,GELDANAMYCIN,NCIH2122,-0.4381114019
ETOPOSIDE,GELDANAMYCIN,NCIH23,-14.0874705108
ETOPOSIDE,GELDANAMYCIN,NCIH460,2.8251742244
ETOPOSIDE,GELDANAMYCIN,NCIH520,8.5189636468
ETOPOSIDE,GELDANAMYCIN,OV90,3.3221038488
ETOPOSIDE,GELDANAMYCIN,OVCAR3,39.0283329689
ETOPOSIDE,GELDANAMYCIN,RKO,-0.0900627685
ETOPOSIDE,GELDANAMYCIN,RPMI7951,-2.2640746943
ETOPOSIDE,GELDANAMYCIN,SKMEL30,32.84665347
ETOPOSIDE,GELDANAMYCIN,SKMES1,-1.0661536323
ETOPOSIDE,GELDANAMYCIN,SKOV3,9.7263384182
ETOPOSIDE,GELDANAMYCIN,SW620,10.0565320367
ETOPOSIDE,GELDANAMYCIN,SW837,17.1279716809
ETOPOSIDE,GELDANAMYCIN,T47D,27.2454584723
ETOPOSIDE,GELDANAMYCIN,UACC62,1.7152442151
ETOPOSIDE,GELDANAMYCIN,VCAP,7.2600331233
ETOPOSIDE,GELDANAMYCIN,ZR751,0.8029800266
ETOPOSIDE,LAPATINIB,A2058,-0.8609223723
ETOPOSIDE,LAPATINIB,A2780,27.2908839852
ETOPOSIDE,LAPATINIB,A375,13.6902370148
ETOPOSIDE,LAPATINIB,CAOV3,143.2917905274
ETOPOSIDE,LAPATINIB,ES2,-5.6795733923
ETOPOSIDE,LAPATINIB,HCT116,27.6384261448
ETOPOSIDE,LAPATINIB,HT144,12.7503396176
ETOPOSIDE,LAPATINIB,HT29,15.9778170379
ETOPOSIDE,LAPATINIB,KPL1,6.9064641585
ETOPOSIDE,LAPATINIB,LNCAP,27.812676562
ETOPOSIDE,LAPATINIB,LOVO,50.4281854033
ETOPOSIDE,LAPATINIB,MDAMB436,20.1485259974
ETOPOSIDE,LAPATINIB,NCIH1650,21.6310608562
ETOPOSIDE,LAPATINIB,NCIH2122,31.3094760695
ETOPOSIDE,LAPATINIB,NCIH23,-167.5463502638
ETOPOSIDE,LAPATINIB,NCIH460,13.8504403802
ETOPOSIDE,LAPATINIB,NCIH520,17.8898733998
ETOPOSIDE,LAPATINIB,OV90,-14.60244237
ETOPOSIDE,LAPATINIB,OVCAR3,26.4859601618
ETOPOSIDE,LAPATINIB,RKO,4.0903813537
ETOPOSIDE,LAPATINIB,RPMI7951,16.6244339781
ETOPOSIDE,LAPATINIB,SKMEL30,5.9468491435
ETOPOSIDE,LAPATINIB,SKMES1,17.6539907344
ETOPOSIDE,LAPATINIB,SKOV3,19.1381495311
ETOPOSIDE,LAPATINIB,SW620,17.8391530156
ETOPOSIDE,LAPATINIB,SW837,43.7618706696
ETOPOSIDE,LAPATINIB,T47D,-7.0767464442
ETOPOSIDE,LAPATINIB,UACC62,7.8090741783
ETOPOSIDE,LAPATINIB,VCAP,18.8620989138
ETOPOSIDE,LAPATINIB,ZR751,42.9479522551
ETOPOSIDE,MK-2206,A2058,23.8414603018
ETOPOSIDE,MK-2206,A2780,25.0945586642
ETOPOSIDE,MK-2206,A375,40.3600573977
ETOPOSIDE,MK-2206,CAOV3,159.9074884181
ETOPOSIDE,MK-2206,ES2,17.0550637925
ETOPOSIDE,MK-2206,HCT116,41.4782165867
ETOPOSIDE,MK-2206,HT144,47.8440531222
ETOPOSIDE,MK-2206,HT29,20.8045254273
ETOPOSIDE,MK-2206,KPL1,60.243101235
ETOPOSIDE,MK-2206,LNCAP,28.9482840365
ETOPOSIDE,MK-2206,LOVO,36.553882975
ETOPOSIDE,MK-2206,MDAMB436,34.5008605217
ETOPOSIDE,MK-2206,NCIH1650,35.0205476339
ETOPOSIDE,MK-2206,NCIH2122,43.0982675005
ETOPOSIDE,MK-2206,NCIH23,-168.9394511954
ETOPOSIDE,MK-2206,NCIH460,46.5665782366
ETOPOSIDE,MK-2206,NCIH520,10.8951043492
ETOPOSIDE,MK-2206,OV90,35.0810666521
ETOPOSIDE,MK-2206,OVCAR3,8.6919750082
ETOPOSIDE,MK-2206,RKO,49.94340541
ETOPOSIDE,MK-2206,RPMI7951,17.2451000694
ETOPOSIDE,MK-2206,SKMEL30,33.0495464089
ETOPOSIDE,MK-2206,SKMES1,44.4587177352
ETOPOSIDE,MK-2206,SKOV3,4.5824923806
ETOPOSIDE,MK-2206,SW620,19.4148890215
ETOPOSIDE,MK-2206,SW837,41.4963374145
ETOPOSIDE,MK-2206,T47D,6.3776234671
ETOPOSIDE,MK-2206,UACC62,42.952925003
ETOPOSIDE,MK-2206,VCAP,33.3903943182
ETOPOSIDE,MK-2206,ZR751,20.5992140762
ETOPOSIDE,MK-4827,A2058,-1.3765989569
ETOPOSIDE,MK-4827,A2780,8.8820280866
ETOPOSIDE,MK-4827,A375,6.2538193943
ETOPOSIDE,MK-4827,CAOV3,80.4707926773
ETOPOSIDE,MK-4827,ES2,-1.8981692646
ETOPOSIDE,MK-4827,HCT116,14.4686563542
ETOPOSIDE,MK-4827,HT144,14.3526778982
ETOPOSIDE,MK-4827,HT29,9.8856071627
ETOPOSIDE,MK-4827,KPL1,12.0316204249
ETOPOSIDE,MK-4827,LNCAP,-21.5902741897
ETOPOSIDE,MK-4827,LOVO,3.2843359659
ETOPOSIDE,MK-4827,MDAMB436,17.9478713885
ETOPOSIDE,MK-4827,NCIH1650,26.2248310949
ETOPOSIDE,MK-4827,NCIH2122,18.3842378416
ETOPOSIDE,MK-4827,NCIH23,-148.8888174973
ETOPOSIDE,MK-4827,NCIH460,15.8213671089
ETOPOSIDE,MK-4827,NCIH520,24.0722525174
ETOPOSIDE,MK-4827,OV90,2.1983561013
ETOPOSIDE,MK-4827,OVCAR3,19.4700845308
ETOPOSIDE,MK-4827,RKO,9.0151431461
ETOPOSIDE,MK-4827,RPMI7951,2.182668214
ETOPOSIDE,MK-4827,SKMEL30,12.7427380809
ETOPOSIDE,MK-4827,SKMES1,3.1760854346
ETOPOSIDE,MK-4827,SKOV3,21.9059834216
ETOPOSIDE,MK-4827,SW620,6.3955426972
ETOPOSIDE,MK-4827,SW837,10.6277544998
ETOPOSIDE,MK-4827,T47D,-30.7134816298
ETOPOSIDE,MK-4827,UACC62,2.0753413775
ETOPOSIDE,MK-4827,VCAP,22.0955574288
ETOPOSIDE,MK-4827,ZR751,3.0781897737
ETOPOSIDE,MK-5108,A2058,-0.7154277824
ETOPOSIDE,MK-5108,A2780,10.1986437665
ETOPOSIDE,MK-5108,A375,14.9891270273
ETOPOSIDE,MK-5108,CAOV3,70.4929495418
ETOPOSIDE,MK-5108,ES2,9.4851366903
